Status,Date,Description,Debit,Credit
Cleared,12/30/2023,"TST* NO THAI-S. MAIN Ann Arbor MI",29.00,
Cleared,12/29/2023,"CHIPOTLE 1158 ANN ARBOR MI null XXXXXXXXXXXX9868",22.47,
Cleared,12/29/2023,"COURTYARD JFK INTL AIR JAMAICA NY PHONE NUMBER: 2123423232 FOLIO NUMBER: M36541 ARRIVE: 12/29/2023 DEPART:12/29/2023",39.77,
Cleared,12/28/2023,"COURTYARD JFK INTL AIR JAMAICA NY PHONE NUMBER: 2123423232 FOLIO NUMBER: M36405 ARRIVE: 12/28/2023 DEPART:12/28/2023",10.89,
Cleared,12/15/2023,"ONLINE PAYMENT, THANK YOU",,-59.53
Cleared,12/15/2023,"PEI WEI EXPRESS DTW DETROIT MI null XXXXXXXXXXXX9868",13.77,
Cleared,12/15/2023,"SEA GREEDYCOW BURGER 1 TUKWILA WA null XXXXXXXXXXXX9868",22.45,
Cleared,12/14/2023,"K&D BISTRO YPSILANTI MI",13.73,
Cleared,12/09/2023,"TST* TOMUKUN KOREAN BB Ann Arbor MI",59.53,
Cleared,12/08/2023,"ONLINE PAYMENT, THANK YOU",,-218.36
Cleared,12/04/2023,"ONLINE PAYMENT, THANK YOU",,-242.82
Cleared,12/02/2023,"BOYNE MTN F&B -DIN BOYNE FALLS MI",32.62,
Cleared,12/02/2023,"BOYNE MTN F&B -DIN BOYNE FALLS MI",66.70,
Cleared,12/01/2023,"TST* TOMUKUN KOREAN BB Ann Arbor MI",119.04,
Cleared,11/29/2023,"K&D BISTRO YPSILANTI MI",15.85,
Cleared,11/28/2023,"PEARL RIVER BELLEVILLE MI",11.93,
Cleared,11/27/2023,"TST* ANTIGUO LOBO 470-385-6502 GA null XXXXXXXXXXXX9868",48.20,
Cleared,11/27/2023,"Subway 25044 7344857827 MI null XXXXXXXXXXXX9868",12.50,
Cleared,11/27/2023,"CHICK-FIL-A #05035 BROOKHAVEN GA null XXXXXXXXXXXX9868",8.51,
Cleared,11/26/2023,"TECH DINING-BLUE DONKE ATLANTA GA",6.81,
Cleared,11/25/2023,"JINYA RAMEN BAR - BUCK ATLANTA GA",29.06,
Cleared,11/25/2023,"SQ *AMORINO ATLANTA LE Atlanta GA",11.00,
Cleared,11/25/2023,"SQ *KUNG FU TEA DORAVI Doraville GA",14.36,
Cleared,11/25/2023,"AVELLINO'S PIZZERIA ATLANTA GA",29.00,
